Query: NLB074925_01, Tunefamily: 10000_0, average precision:[1.0] 
Query: NLB182977_01, Tunefamily: 12382_0, average precision:[0.6666666666666666] 
Query: NLB184971_01, Tunefamily: 12382_0, average precision:[1.0] 
Query: NLB182934_01, Tunefamily: 12383_0, average precision:[0.5010482180293501] 
Query: NLB184968_01, Tunefamily: 12383_0, average precision:[0.5028735632183908] 
Query: NLB073240_01, Tunefamily: 12385_0, average precision:[0.6666666666666666] 
Query: NLB146214_01, Tunefamily: 12385_0, average precision:[0.75] 
Query: NLB151266_01, Tunefamily: 12386_0, average precision:[1.0] 
Query: NLB177321_01, Tunefamily: 12386_0, average precision:[1.0] 
Query: NLB150974_01, Tunefamily: 1238_0, average precision:[1.0] 
Query: NLB165960_01, Tunefamily: 1238_0, average precision:[1.0] 
Query: NLB140328_01, Tunefamily: 1240_0, average precision:[0.20049833398641664] 
Query: NLB146585_01, Tunefamily: 1240_0, average precision:[0.4008159899134723] 
Query: NLB146585_02, Tunefamily: 1240_0, average precision:[0.4007205943434082] 
Query: NLB148141_01, Tunefamily: 1240_0, average precision:[0.2006310731444078] 
Query: NLB195581_01, Tunefamily: 1240_0, average precision:[0.20044890122623146] 
Query: NLB013720_01, Tunefamily: 1242_0, average precision:[0.5012626262626263] 
Query: NLB140339_01, Tunefamily: 1242_0, average precision:[0.5023148148148148] 
Query: NLB138450_01, Tunefamily: 12527_0, average precision:[0.7] 
Query: NLB186075_01, Tunefamily: 12527_0, average precision:[1.0] 
Query: NLB186113_01, Tunefamily: 12552_0, average precision:[0.5006565988181221] 
Query: NLB186121_01, Tunefamily: 12552_0, average precision:[0.5012468827930174] 
Query: NLB186126_01, Tunefamily: 12564_0, average precision:[0.5018382352941176] 
Query: NLB186126_02, Tunefamily: 12564_0, average precision:[0.5023866348448688] 
Query: NLB176452_01, Tunefamily: 12616_0, average precision:[1.0] 
Query: NLB182129_01, Tunefamily: 12616_0, average precision:[1.0] 
Query: NLB115782_01, Tunefamily: 12619_0, average precision:[1.0] 
Query: NLB186356_01, Tunefamily: 12619_0, average precision:[1.0] 
Query: NLB123822_01, Tunefamily: 12717_0, average precision:[0.25048868060163937] 
Query: NLB151435_01, Tunefamily: 12717_0, average precision:[0.25775873463564014] 
Query: NLB165904_01, Tunefamily: 12717_0, average precision:[0.255470770931432] 
Query: NLB167793_01, Tunefamily: 12717_0, average precision:[0.2536584357385914] 
Query: NLB182365_01, Tunefamily: 12721_0, average precision:[0.5046558239555713] 
Query: NLB182366_01, Tunefamily: 12721_0, average precision:[0.298249438115167] 
Query: NLB182875_01, Tunefamily: 12721_0, average precision:[0.5046558239555713] 
Query: NLB182876_01, Tunefamily: 12721_0, average precision:[0.30105327978730534] 
Query: NLB182359_01, Tunefamily: 12723_0, average precision:[0.5120481927710844] 
Query: NLB196414_01, Tunefamily: 12723_0, average precision:[0.5023255813953489] 
Query: NLB188459_01, Tunefamily: 12741_0, average precision:[0.5004987531172069] 
Query: NLB188470_01, Tunefamily: 12741_0, average precision:[0.5011286681715575] 
Query: NLB135344_01, Tunefamily: 12776_0, average precision:[1.0] 
Query: NLB138073_01, Tunefamily: 12776_0, average precision:[1.0] 
Query: NLB137901_01, Tunefamily: 12797_0, average precision:[1.0] 
Query: NLB190990_01, Tunefamily: 12797_0, average precision:[0.7] 
Query: NLB144851_01, Tunefamily: 12836_0, average precision:[0.2505157545327652] 
Query: NLB145164_01, Tunefamily: 12836_0, average precision:[0.3510954166560086] 
Query: NLB190976_01, Tunefamily: 12836_0, average precision:[0.25079755479201443] 
Query: NLB192109_01, Tunefamily: 12836_0, average precision:[0.3070669035021991] 
Query: NLB190944_01, Tunefamily: 12842_0, average precision:[1.0] 
Query: NLB192446_01, Tunefamily: 12842_0, average precision:[1.0] 
Query: NLB191010_01, Tunefamily: 12843_1, average precision:[1.0] 
Query: NLB192467_01, Tunefamily: 12843_1, average precision:[1.0] 
Query: NLB129938_01, Tunefamily: 12844_0, average precision:[0.21426719322965732] 
Query: NLB135631_01, Tunefamily: 12844_0, average precision:[0.17446140318290848] 
Query: NLB136635_01, Tunefamily: 12844_0, average precision:[0.22424320508649248] 
Query: NLB152231_01, Tunefamily: 12844_0, average precision:[0.17074699679182115] 
Query: NLB178033_01, Tunefamily: 12844_0, average precision:[0.31079106557376085] 
Query: NLB192478_01, Tunefamily: 12844_0, average precision:[0.22912986506220592] 
Query: NLB183312_01, Tunefamily: 12845_0, average precision:[1.0] 
Query: NLB192029_01, Tunefamily: 12845_0, average precision:[1.0] 
Query: NLB195421_01, Tunefamily: 12845_0, average precision:[1.0] 
Query: NLB183313_01, Tunefamily: 12846_0, average precision:[1.0] 
Query: NLB192050_01, Tunefamily: 12846_0, average precision:[1.0] 
Query: NLB195422_01, Tunefamily: 12846_0, average precision:[1.0] 
Query: NLB183314_01, Tunefamily: 12847_0, average precision:[0.6818181818181818] 
Query: NLB192051_01, Tunefamily: 12847_0, average precision:[0.3497379149679674] 
Query: NLB195423_01, Tunefamily: 12847_0, average precision:[0.6818181818181818] 
Query: NLB183394_01, Tunefamily: 12851_0, average precision:[0.5009587727708533] 
Query: NLB195335_01, Tunefamily: 12851_0, average precision:[0.5004952947003467] 
Query: NLB183349_01, Tunefamily: 12854_0, average precision:[0.5048780487804878] 
Query: NLB190957_01, Tunefamily: 12854_0, average precision:[0.6428571428571428] 
Query: NLB190974_01, Tunefamily: 12855_0, average precision:[1.0] 
Query: NLB192401_01, Tunefamily: 12855_0, average precision:[1.0] 
Query: NLB011077_01, Tunefamily: 12868_0, average precision:[0.9821428571428571] 
Query: NLB177971_01, Tunefamily: 12868_0, average precision:[1.0] 
Query: NLB192427_01, Tunefamily: 12868_0, average precision:[1.0] 
Query: NLB192496_01, Tunefamily: 12868_0, average precision:[1.0] 
Query: NLB195497_01, Tunefamily: 12868_0, average precision:[1.0] 
Query: NLB196412_01, Tunefamily: 12868_0, average precision:[1.0] 
Query: NLB197819_01, Tunefamily: 12868_0, average precision:[1.0] 
Query: NLB013714_01, Tunefamily: 1287_0, average precision:[0.5000965810314855] 
Query: NLB140300_01, Tunefamily: 1287_0, average precision:[0.500154631204577] 
Query: NLB192001_01, Tunefamily: 12894_0, average precision:[1.0] 
Query: NLB195435_01, Tunefamily: 12894_0, average precision:[1.0] 
Query: NLB115872_01, Tunefamily: 1292_0, average precision:[0.8333333333333333] 
Query: NLB151019_01, Tunefamily: 1292_0, average precision:[0.75] 
Query: NLB192038_01, Tunefamily: 12930_0, average precision:[1.0] 
Query: NLB192041_01, Tunefamily: 12930_0, average precision:[1.0] 
Query: NLB115844_01, Tunefamily: 12941_0, average precision:[0.30132725604861826] 
Query: NLB125033_01, Tunefamily: 12941_0, average precision:[0.2538594062808064] 
Query: NLB192082_01, Tunefamily: 12941_0, average precision:[0.2554394235010238] 
Query: NLB196402_01, Tunefamily: 12941_0, average precision:[0.3727059925093633] 
Query: NLB151545_01, Tunefamily: 1298_2, average precision:[1.0] 
Query: NLB165463_01, Tunefamily: 1298_2, average precision:[1.0] 
Query: NLB177470_01, Tunefamily: 1298_2, average precision:[1.0] 
Query: NLB151587_01, Tunefamily: 1298_4, average precision:[1.0] 
Query: NLB165465_01, Tunefamily: 1298_4, average precision:[1.0] 
Query: NLB128294_01, Tunefamily: 1299_0, average precision:[0.55] 
Query: NLB150853_01, Tunefamily: 1299_0, average precision:[0.5103092783505154] 
Query: NLB003760_01, Tunefamily: 129_0, average precision:[0.501984126984127] 
Query: NLB004501_01, Tunefamily: 129_0, average precision:[0.5043103448275862] 
Query: NLB070229_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB070423_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB070712_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB071003_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB071003_02, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB071139_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB071230_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB074199_01, Tunefamily: 1302_0, average precision:[0.09518001296274219] 
Query: NLB074199_02, Tunefamily: 1302_0, average precision:[0.09518001296274219] 
Query: NLB074744_01, Tunefamily: 1302_0, average precision:[0.037809483584877575] 
Query: NLB111500_01, Tunefamily: 1302_0, average precision:[0.09491455136921319] 
Query: NLB111589_01, Tunefamily: 1302_0, average precision:[0.04297627964275153] 
Query: NLB111764_01, Tunefamily: 1302_0, average precision:[0.09491455136921319] 
Query: NLB113251_01, Tunefamily: 1302_0, average precision:[0.0579708349556128] 
Query: NLB123903_01, Tunefamily: 1302_0, average precision:[0.07495157372108915] 
Query: NLB123938_01, Tunefamily: 1302_0, average precision:[0.06594080538316349] 
Query: NLB126342_01, Tunefamily: 1302_0, average precision:[0.09761146183219939] 
Query: NLB140278_01, Tunefamily: 1302_0, average precision:[0.13496125488532085] 
Query: NLB142066_01, Tunefamily: 1302_0, average precision:[0.10782746214308113] 
Query: NLB142401_01, Tunefamily: 1302_0, average precision:[0.04441001712281885] 
Query: NLB149130_01, Tunefamily: 1302_0, average precision:[0.11708331991356408] 
Query: NLB175795_01, Tunefamily: 1302_0, average precision:[0.045345152781872025] 
Query: NLB176060_01, Tunefamily: 1302_0, average precision:[0.09088120527155889] 
Query: NLB176316_01, Tunefamily: 1302_0, average precision:[0.05132536612802879] 
Query: NLB177248_01, Tunefamily: 1302_0, average precision:[0.04255224115484497] 
Query: NLB178554_01, Tunefamily: 1302_0, average precision:[0.05655402848806326] 
Query: NLB178968_01, Tunefamily: 1302_0, average precision:[0.08792522053811865] 
Query: NLB150998_01, Tunefamily: 13033_0, average precision:[1.0] 
Query: NLB180448_01, Tunefamily: 13033_0, average precision:[1.0] 
Query: NLB135615_01, Tunefamily: 13057_0, average precision:[0.3353689922120431] 
Query: NLB150188_01, Tunefamily: 13057_0, average precision:[0.34485864745011086] 
Query: NLB152460_01, Tunefamily: 13057_0, average precision:[0.34088637435172087] 
Query: NLB129908_01, Tunefamily: 1305_0, average precision:[0.6666666666666666] 
Query: NLB148747_01, Tunefamily: 1305_0, average precision:[0.7] 
Query: NLB196372_01, Tunefamily: 13083_0, average precision:[0.5149253731343284] 
Query: NLB196372_02, Tunefamily: 13083_0, average precision:[0.5196078431372549] 
Query: NLB115832_01, Tunefamily: 13090_0, average precision:[0.5049751243781094] 
Query: NLB196380_01, Tunefamily: 13090_0, average precision:[0.508695652173913] 
Query: NLB115841_01, Tunefamily: 13100_0, average precision:[1.0] 
Query: NLB166149_01, Tunefamily: 13100_0, average precision:[1.0] 
Query: NLB195412_01, Tunefamily: 13100_0, average precision:[1.0] 
Query: NLB145290_01, Tunefamily: 13128_0, average precision:[0.25297624244656597] 
Query: NLB192070_01, Tunefamily: 13128_0, average precision:[0.263204348416742] 
Query: NLB195409_01, Tunefamily: 13128_0, average precision:[0.25055163315749096] 
Query: NLB196420_01, Tunefamily: 13128_0, average precision:[0.25678864325847806] 
Query: NLB143677_01, Tunefamily: 13129_0, average precision:[0.5048309178743962] 
Query: NLB146019_01, Tunefamily: 13129_0, average precision:[0.5048543689320388] 
Query: NLB190975_01, Tunefamily: 13165_0, average precision:[0.03358585858585859] 
Query: NLB192463_01, Tunefamily: 13165_0, average precision:[0.03358585858585859] 
Query: NLB137612_01, Tunefamily: 13166_0, average precision:[0.5027548209366391] 
Query: NLB191042_01, Tunefamily: 13166_0, average precision:[0.506993006993007] 
Query: NLB152472_01, Tunefamily: 13184_0, average precision:[0.5006527415143603] 
Query: NLB190994_01, Tunefamily: 13184_0, average precision:[0.5016129032258064] 
Query: NLB151946_01, Tunefamily: 13186_0, average precision:[0.3815119780424761] 
Query: NLB177425_01, Tunefamily: 13186_0, average precision:[0.5561305986837901] 
Query: NLB183348_01, Tunefamily: 13186_0, average precision:[0.3373860304454352] 
Query: NLB009297_01, Tunefamily: 13187_0, average precision:[1.0] 
Query: NLB195324_01, Tunefamily: 13187_0, average precision:[1.0] 
Query: NLB134716_01, Tunefamily: 13188_0, average precision:[0.503125] 
Query: NLB195565_01, Tunefamily: 13188_0, average precision:[0.5078125] 
Query: NLB134807_01, Tunefamily: 13193_0, average precision:[0.7722222222222223] 
Query: NLB134901_01, Tunefamily: 13193_0, average precision:[0.7722222222222223] 
Query: NLB150109_01, Tunefamily: 13193_0, average precision:[0.2813769211388259] 
Query: NLB183415_01, Tunefamily: 13193_0, average precision:[0.7777777777777778] 
Query: NLB151544_01, Tunefamily: 13194_0, average precision:[1.0] 
Query: NLB180572_01, Tunefamily: 13194_0, average precision:[1.0] 
Query: NLB123915_01, Tunefamily: 13198_0, average precision:[1.0] 
Query: NLB151279_01, Tunefamily: 13198_0, average precision:[1.0] 
Query: NLB147024_01, Tunefamily: 13204_0, average precision:[1.0] 
Query: NLB151282_01, Tunefamily: 13204_0, average precision:[1.0] 
Query: NLB072164_02, Tunefamily: 13205_0, average precision:[0.5016778523489933] 
Query: NLB151308_01, Tunefamily: 13205_0, average precision:[0.5022471910112359] 
Query: NLB151420_01, Tunefamily: 13206_0, average precision:[1.0] 
Query: NLB180467_01, Tunefamily: 13206_0, average precision:[1.0] 
Query: NLB129812_01, Tunefamily: 1320_0, average precision:[0.5051282051282051] 
Query: NLB150852_01, Tunefamily: 1320_0, average precision:[0.4444444444444444] 
Query: NLB196678_01, Tunefamily: 1320_0, average precision:[0.3693379790940767] 
Query: NLB101775_01, Tunefamily: 13211_0, average precision:[0.03214616096207215] 
Query: NLB105439_01, Tunefamily: 13211_0, average precision:[0.03214616096207215] 
Query: NLB071059_01, Tunefamily: 13212_0, average precision:[0.004834170885101294] 
Query: NLB071060_01, Tunefamily: 13212_0, average precision:[0.12136648111102828] 
Query: NLB104277_01, Tunefamily: 13212_0, average precision:[0.5176122885802297] 
Query: NLB104651_01, Tunefamily: 13212_0, average precision:[0.5176122885802297] 
Query: NLB107589_01, Tunefamily: 13212_0, average precision:[0.5752018295981846] 
Query: NLB110169_01, Tunefamily: 13212_0, average precision:[0.4784352305502681] 
Query: NLB110204_01, Tunefamily: 13212_0, average precision:[0.6284133839750332] 
Query: NLB146089_01, Tunefamily: 13212_0, average precision:[0.4858081194512272] 
Query: NLB146132_01, Tunefamily: 13212_0, average precision:[0.6001736858310972] 
Query: NLB177474_01, Tunefamily: 13217_0, average precision:[1.0] 
Query: NLB177899_01, Tunefamily: 13217_0, average precision:[1.0] 
Query: NLB183417_01, Tunefamily: 13217_0, average precision:[1.0] 
Query: NLB196754_01, Tunefamily: 13217_0, average precision:[1.0] 
Query: NLB197870_01, Tunefamily: 13217_0, average precision:[1.0] 
Query: NLB145224_01, Tunefamily: 13220_0, average precision:[0.6677512653651483] 
Query: NLB182757_01, Tunefamily: 13220_0, average precision:[0.667477696674777] 
Query: NLB183414_01, Tunefamily: 13220_0, average precision:[0.33518623387989394] 
Query: NLB175706_01, Tunefamily: 13221_0, average precision:[1.0] 
Query: NLB175711_01, Tunefamily: 13221_0, average precision:[1.0] 
Query: NLB192054_01, Tunefamily: 13223_0, average precision:[1.0] 
Query: NLB195427_01, Tunefamily: 13223_0, average precision:[1.0] 
Query: NLB192002_01, Tunefamily: 13224_0, average precision:[0.6428571428571428] 
Query: NLB195437_01, Tunefamily: 13224_0, average precision:[0.75] 
Query: NLB192066_01, Tunefamily: 13225_0, average precision:[0.5019011406844106] 
Query: NLB195454_01, Tunefamily: 13225_0, average precision:[0.5008880994671403] 
Query: NLB192046_01, Tunefamily: 13226_0, average precision:[0.625] 
Query: NLB195460_01, Tunefamily: 13226_0, average precision:[0.503968253968254] 
Query: NLB125176_01, Tunefamily: 1324_0, average precision:[0.07818571574109122] 
Query: NLB129917_01, Tunefamily: 1324_0, average precision:[0.22676482092042732] 
Query: NLB166320_01, Tunefamily: 1324_0, average precision:[0.10254222539745612] 
Query: NLB173365_01, Tunefamily: 1324_0, average precision:[0.0855252480188004] 
Query: NLB176941_01, Tunefamily: 1324_0, average precision:[0.06794212419276112] 
Query: NLB177419_01, Tunefamily: 1324_0, average precision:[0.23620822809549627] 
Query: NLB177692_01, Tunefamily: 1324_0, average precision:[0.0029028606695327658] 
Query: NLB183470_01, Tunefamily: 1324_0, average precision:[0.21182120371356195] 
Query: NLB183475_01, Tunefamily: 1324_0, average precision:[0.21182120371356195] 
Query: NLB184976_01, Tunefamily: 1324_0, average precision:[0.13792113301569855] 
Query: NLB195536_01, Tunefamily: 1324_0, average precision:[0.12028312365444582] 
Query: NLB196708_01, Tunefamily: 1324_0, average precision:[0.1384977660730878] 
Query: NLB196800_01, Tunefamily: 1324_0, average precision:[0.25247611927795555] 
Query: NLB198123_01, Tunefamily: 1324_0, average precision:[0.11827390089499212] 
Query: NLB198124_01, Tunefamily: 1324_0, average precision:[0.17284942743746648] 
Query: NLB192508_01, Tunefamily: 13262_0, average precision:[1.0] 
Query: NLB195486_01, Tunefamily: 13262_0, average precision:[1.0] 
Query: NLB192509_01, Tunefamily: 13270_0, average precision:[1.0] 
Query: NLB195320_01, Tunefamily: 13270_0, average precision:[1.0] 
Query: NLB192510_01, Tunefamily: 13271_0, average precision:[1.0] 
Query: NLB195321_01, Tunefamily: 13271_0, average precision:[1.0] 
Query: NLB145267_01, Tunefamily: 13285_0, average precision:[1.0] 
Query: NLB177477_01, Tunefamily: 13285_0, average precision:[1.0] 
Query: NLB177914_01, Tunefamily: 13285_0, average precision:[1.0] 
Query: NLB197937_01, Tunefamily: 13285_0, average precision:[1.0] 
Query: NLB191135_01, Tunefamily: 13298_0, average precision:[0.5004078303425775] 
Query: NLB191136_01, Tunefamily: 13298_0, average precision:[0.500400320256205] 
Query: NLB191159_01, Tunefamily: 13306_0, average precision:[1.0] 
Query: NLB191180_01, Tunefamily: 13306_0, average precision:[1.0] 
Query: NLB150742_01, Tunefamily: 13343_0, average precision:[0.8333333333333333] 
Query: NLB195348_01, Tunefamily: 13343_0, average precision:[0.6111111111111112] 
Query: NLB115752_01, Tunefamily: 13350_0, average precision:[1.0] 
Query: NLB192030_01, Tunefamily: 13350_0, average precision:[1.0] 
Query: NLB195356_01, Tunefamily: 13350_0, average precision:[1.0] 
Query: NLB192049_01, Tunefamily: 13356_0, average precision:[0.5175438596491229] 
Query: NLB195363_01, Tunefamily: 13356_0, average precision:[0.532258064516129] 
Query: NLB192504_01, Tunefamily: 13373_0, average precision:[1.0] 
Query: NLB196398_01, Tunefamily: 13373_0, average precision:[1.0] 
Query: NLB175778_01, Tunefamily: 13377_0, average precision:[1.0] 
Query: NLB176233_01, Tunefamily: 13377_0, average precision:[1.0] 
Query: NLB199735_01, Tunefamily: 13377_0, average precision:[1.0] 
Query: NLB152424_01, Tunefamily: 13396_0, average precision:[0.5104166666666666] 
Query: NLB192061_01, Tunefamily: 13396_0, average precision:[0.5083333333333333] 
Query: NLB192071_01, Tunefamily: 13397_0, average precision:[0.7] 
Query: NLB196382_01, Tunefamily: 13397_0, average precision:[0.75] 
Query: NLB137886_01, Tunefamily: 1339_0, average precision:[0.5024390243902439] 
Query: NLB137893_01, Tunefamily: 1339_0, average precision:[0.5023474178403756] 
Query: NLB135796_01, Tunefamily: 133_0, average precision:[0.6676375404530744] 
Query: NLB135821_01, Tunefamily: 133_0, average precision:[0.2010059852076572] 
Query: NLB138382_01, Tunefamily: 133_0, average precision:[0.3440399101789476] 
Query: NLB151953_01, Tunefamily: 133_0, average precision:[0.5080153346053282] 
Query: NLB173531_01, Tunefamily: 133_0, average precision:[0.4799886480266227] 
Query: NLB177862_01, Tunefamily: 13403_0, average precision:[1.0] 
Query: NLB178297_01, Tunefamily: 13403_0, average precision:[1.0] 
Query: NLB177465_01, Tunefamily: 13404_1, average precision:[0.7516181229773463] 
Query: NLB177545_01, Tunefamily: 13404_1, average precision:[0.007582580853792023] 
Query: NLB196723_01, Tunefamily: 13404_1, average precision:[0.7516181229773463] 
Query: NLB197886_01, Tunefamily: 13404_1, average precision:[0.7516181229773463] 
Query: NLB177878_01, Tunefamily: 13404_2, average precision:[1.0] 
Query: NLB198056_01, Tunefamily: 13404_2, average precision:[1.0] 
Query: NLB177452_01, Tunefamily: 13406_0, average precision:[0.7435897435897436] 
Query: NLB178151_01, Tunefamily: 13406_0, average precision:[0.7435897435897436] 
Query: NLB182858_01, Tunefamily: 13406_0, average precision:[0.3829471182412359] 
Query: NLB177454_01, Tunefamily: 13410_0, average precision:[1.0] 
Query: NLB177481_01, Tunefamily: 13410_0, average precision:[1.0] 
Query: NLB195507_01, Tunefamily: 13410_0, average precision:[1.0] 
Query: NLB177475_01, Tunefamily: 13411_0, average precision:[0.6071969696969697] 
Query: NLB178154_01, Tunefamily: 13411_0, average precision:[0.5523049645390071] 
Query: NLB182963_01, Tunefamily: 13411_0, average precision:[0.2632327309621918] 
Query: NLB198052_01, Tunefamily: 13411_0, average precision:[0.4229889452706497] 
Query: NLB177518_01, Tunefamily: 13412_0, average precision:[0.9266666666666666] 
Query: NLB177856_01, Tunefamily: 13412_0, average precision:[1.0] 
Query: NLB196507_01, Tunefamily: 13412_0, average precision:[0.8761904761904762] 
Query: NLB197889_01, Tunefamily: 13412_0, average precision:[1.0] 
Query: NLB198037_01, Tunefamily: 13412_0, average precision:[0.9266666666666666] 
Query: NLB177528_01, Tunefamily: 13413_0, average precision:[1.0] 
Query: NLB178146_01, Tunefamily: 13413_0, average precision:[1.0] 
Query: NLB195566_01, Tunefamily: 13413_0, average precision:[1.0] 
Query: NLB197918_01, Tunefamily: 13413_0, average precision:[1.0] 
Query: NLB177530_01, Tunefamily: 13414_0, average precision:[1.0] 
Query: NLB178157_01, Tunefamily: 13414_0, average precision:[1.0] 
Query: NLB177532_01, Tunefamily: 13415_0, average precision:[1.0] 
Query: NLB178141_01, Tunefamily: 13415_0, average precision:[1.0] 
Query: NLB151948_01, Tunefamily: 13420_0, average precision:[0.3576300085251492] 
Query: NLB177631_01, Tunefamily: 13420_0, average precision:[0.6979166666666666] 
Query: NLB197861_01, Tunefamily: 13420_0, average precision:[0.6979166666666666] 
Query: NLB177798_01, Tunefamily: 13422_0, average precision:[0.9166666666666666] 
Query: NLB178143_01, Tunefamily: 13422_0, average precision:[0.5277777777777778] 
Query: NLB197879_01, Tunefamily: 13422_0, average precision:[0.9166666666666666] 
Query: NLB135040_01, Tunefamily: 13423_0, average precision:[1.0] 
Query: NLB177881_01, Tunefamily: 13423_0, average precision:[1.0] 
Query: NLB183382_01, Tunefamily: 13430_0, average precision:[0.5227272727272727] 
Query: NLB195404_01, Tunefamily: 13430_0, average precision:[0.5625] 
Query: NLB138032_01, Tunefamily: 1345_0, average precision:[0.524390243902439] 
Query: NLB190968_01, Tunefamily: 1345_0, average precision:[0.5555555555555556] 
Query: NLB195457_01, Tunefamily: 13466_0, average precision:[0.6682514527205494] 
Query: NLB196401_01, Tunefamily: 13466_0, average precision:[0.3343778725811394] 
Query: NLB196449_01, Tunefamily: 13466_0, average precision:[0.6682514527205494] 
Query: NLB192010_01, Tunefamily: 13496_0, average precision:[0.502127659574468] 
Query: NLB192511_01, Tunefamily: 13496_0, average precision:[0.509090909090909] 
Query: NLB011079_01, Tunefamily: 13497_0, average precision:[0.5001740038280842] 
Query: NLB125180_01, Tunefamily: 13497_0, average precision:[0.5000967679504548] 
Query: NLB195481_01, Tunefamily: 13519_0, average precision:[1.0] 
Query: NLB196395_01, Tunefamily: 13519_0, average precision:[1.0] 
Query: NLB137982_01, Tunefamily: 13524_0, average precision:[0.7521505376344086] 
Query: NLB183381_01, Tunefamily: 13524_0, average precision:[0.7521505376344086] 
Query: NLB192100_01, Tunefamily: 13524_0, average precision:[0.2793912555459744] 
Query: NLB196472_01, Tunefamily: 13524_0, average precision:[0.7539840637450199] 
Query: NLB123858_01, Tunefamily: 13526_0, average precision:[0.8269230769230769] 
Query: NLB167096_01, Tunefamily: 13526_0, average precision:[0.9166666666666666] 
Query: NLB176205_01, Tunefamily: 13526_0, average precision:[1.0] 
Query: NLB178888_01, Tunefamily: 13526_0, average precision:[1.0] 
Query: NLB176209_01, Tunefamily: 13529_0, average precision:[0.5005589714924539] 
Query: NLB176876_01, Tunefamily: 13529_0, average precision:[0.5010537407797682] 
Query: NLB175861_01, Tunefamily: 13530_0, average precision:[0.53125] 
Query: NLB176236_01, Tunefamily: 13530_0, average precision:[0.5136986301369864] 
Query: NLB183341_01, Tunefamily: 13538_0, average precision:[1.0] 
Query: NLB192048_01, Tunefamily: 13538_0, average precision:[1.0] 
Query: NLB179042_01, Tunefamily: 13543_0, average precision:[1.0] 
Query: NLB179301_01, Tunefamily: 13543_0, average precision:[1.0] 
Query: NLB178470_01, Tunefamily: 13544_0, average precision:[1.0] 
Query: NLB179288_01, Tunefamily: 13544_0, average precision:[0.43434343434343436] 
Query: NLB184328_01, Tunefamily: 13544_0, average precision:[0.6979166666666666] 
Query: NLB123830_01, Tunefamily: 13557_0, average precision:[0.3340632994900403] 
Query: NLB147009_01, Tunefamily: 13557_0, average precision:[0.33500368028779365] 
Query: NLB200634_01, Tunefamily: 13557_0, average precision:[0.3347796510642169] 
Query: NLB175642_01, Tunefamily: 13565_0, average precision:[0.6785714285714286] 
Query: NLB196674_01, Tunefamily: 13565_0, average precision:[0.3633116883116883] 
Query: NLB196804_01, Tunefamily: 13565_0, average precision:[0.6785714285714286] 
Query: NLB182396_01, Tunefamily: 13569_0, average precision:[1.0] 
Query: NLB196831_01, Tunefamily: 13569_0, average precision:[1.0] 
Query: NLB145226_01, Tunefamily: 13609_0, average precision:[0.825] 
Query: NLB175709_01, Tunefamily: 13609_0, average precision:[0.825] 
Query: NLB177866_01, Tunefamily: 13609_0, average precision:[0.825] 
Query: NLB182771_01, Tunefamily: 13609_0, average precision:[0.825] 
Query: NLB196850_01, Tunefamily: 13609_0, average precision:[0.6961904761904761] 
Query: NLB129845_01, Tunefamily: 13610_0, average precision:[0.4210349463865164] 
Query: NLB145209_01, Tunefamily: 13610_0, average precision:[0.2148492003679614] 
Query: NLB177900_01, Tunefamily: 13610_0, average precision:[0.2884060742540588] 
Query: NLB182809_01, Tunefamily: 13610_0, average precision:[0.40710456514898047] 
Query: NLB196764_01, Tunefamily: 13610_0, average precision:[0.19772400367944823] 
Query: NLB197931_01, Tunefamily: 13610_0, average precision:[0.2884060742540588] 
Query: NLB198038_01, Tunefamily: 13610_0, average precision:[0.4355846013315988] 
Query: NLB192146_01, Tunefamily: 13611_1, average precision:[1.0] 
Query: NLB196879_01, Tunefamily: 13611_1, average precision:[1.0] 
Query: NLB192116_01, Tunefamily: 13615_0, average precision:[1.0] 
Query: NLB196964_01, Tunefamily: 13615_0, average precision:[1.0] 
Query: NLB182950_01, Tunefamily: 13616_0, average precision:[1.0] 
Query: NLB192125_01, Tunefamily: 13616_0, average precision:[1.0] 
Query: NLB196969_01, Tunefamily: 13616_0, average precision:[1.0] 
Query: NLB151456_01, Tunefamily: 13622_0, average precision:[1.0] 
Query: NLB180516_01, Tunefamily: 13622_0, average precision:[1.0] 
Query: NLB151459_01, Tunefamily: 13623_0, average precision:[1.0] 
Query: NLB180519_01, Tunefamily: 13623_0, average precision:[1.0] 
Query: NLB123827_01, Tunefamily: 13624_0, average precision:[1.0] 
Query: NLB130093_01, Tunefamily: 13624_0, average precision:[0.8333333333333333] 
Query: NLB179927_01, Tunefamily: 13626_0, average precision:[0.5003340013360054] 
Query: NLB179931_01, Tunefamily: 13626_0, average precision:[0.5002115506663846] 
Query: NLB177667_01, Tunefamily: 13627_0, average precision:[1.0] 
Query: NLB196765_01, Tunefamily: 13627_0, average precision:[1.0] 
Query: NLB177175_01, Tunefamily: 13628_0, average precision:[0.38808705612829325] 
